time,WindSpeed,AeroThrust,AeroFx,AeroFy,AeroFz,AeroMx,AeroMy,AeroMz,GenTq,GenPwr
0.03,11.4,-4065.6260063319733,-4065.6260063319733,0.0,0.0,0.0,-365906.3405698777,0.0,43093.55,2479338.7561463322
0.060000000000000005,11.4,-4021.767121290091,-4021.767121290091,0.0,0.0,0.0,-361959.0409161082,0.0,43093.55,2479338.7561463322
0.09,11.4,-4021.767121290091,-4021.767121290091,0.0,0.0,0.0,-361959.0409161082,0.0,43093.55,2479338.7561463322
0.11999999999999998,11.4,-3981.3330361366934,-3981.3330361366934,0.0,0.0,0.0,-358319.97325230273,0.0,43093.55,2479338.7561463322
0.15,11.4,-3981.3330361366934,-3981.3330361366934,0.0,0.0,0.0,-358319.97325230273,0.0,43093.55,2479338.7561463322
0.18000000000000002,11.4,-3944.2186769422888,-3944.2186769422888,0.0,0.0,0.0,-354979.6809248059,0.0,43093.55,2479338.7561463322
0.21000000000000005,11.4,-3910.262987904523,-3910.262987904523,0.0,0.0,0.0,-351923.6689114069,0.0,43093.55,2479338.7561463322
0.24000000000000007,11.4,-3910.262987904523,-3910.262987904523,0.0,0.0,0.0,-351923.6689114069,0.0,43093.55,2479338.7561463322
0.2700000000000001,11.4,-3879.5431512108103,-3879.5431512108103,0.0,0.0,0.0,-349158.8836089729,0.0,43093.55,2479338.7561463322
0.3000000000000001,11.4,-3879.5431512108103,-3879.5431512108103,0.0,0.0,0.0,-349158.8836089729,0.0,43093.55,2479338.7561463322
0.3300000000000001,11.4,-3852.3398869345306,-3852.3398869345306,0.0,0.0,0.0,-346710.5898241077,0.0,43093.55,2479338.7561463322
0.36000000000000015,11.4,-3828.893843652986,-3828.893843652986,0.0,0.0,0.0,-344600.4459287686,0.0,43093.55,2479338.7561463322
0.3900000000000002,11.4,-3828.893843652986,-3828.893843652986,0.0,0.0,0.0,-344600.4459287686,0.0,43093.55,2479338.7561463322
0.4200000000000002,11.4,-3809.2476301152046,-3809.2476301152046,0.0,0.0,0.0,-342832.2867103681,0.0,43093.55,2479338.7561463322
0.45000000000000023,11.4,-3809.2476301152046,-3809.2476301152046,0.0,0.0,0.0,-342832.2867103681,0.0,43093.55,2479338.7561463322
0.48000000000000026,11.4,-3793.306229639199,-3793.306229639199,0.0,0.0,0.0,-341397.5606675278,0.0,43093.55,2479338.7561463322
0.5100000000000002,11.4,-3780.9984426861915,-3780.9984426861915,0.0,0.0,0.0,-340289.8598417572,0.0,43093.55,2479338.7561463322
0.5400000000000003,11.4,-3780.9984426861915,-3780.9984426861915,0.0,0.0,0.0,-340289.8598417572,0.0,43093.55,2479338.7561463322
0.5700000000000003,11.4,-3772.3535051421677,-3772.3535051421677,0.0,0.0,0.0,-339511.8154627951,0.0,43093.55,2479338.7561463322
0.6000000000000003,11.4,-3772.3535051421677,-3772.3535051421677,0.0,0.0,0.0,-339511.8154627951,0.0,43093.55,2479338.7561463322
0.6300000000000003,11.4,-3767.4398346908547,-3767.4398346908547,0.0,0.0,0.0,-339069.5851221768,0.0,43093.55,2479338.7561463322
0.6600000000000004,11.4,-3766.262944495879,-3766.262944495879,0.0,0.0,0.0,-338963.66500462923,0.0,43093.55,2479338.7561463322
