time,dof_Surge,dof_Sway,dof_Heave,dof_Roll,dof_Pitch,dof_Yaw,dof_TwrFA1,dof_TwrSS1,dof_TwrFA2,dof_TwrSS2,dof_NacYaw,dof_GenAz,dof_DrTr,dof_B1F1,dof_B1E1,dof_B1F2,dof_B2F1,dof_B2E1,dof_B2F2,dof_B3F1,dof_B3E1,dof_B3F2
0.03,-5.5381697049239716e-05,3.279348281903219e-20,-0.000357769905191323,-2.8003299908069834e-21,-2.7440406677147172e-06,-1.0971159731426227e-22,0.001065511933036255,-0.0008078292438459039,0.0,0.0,0.0,0.01884955592153876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.060000000000000005,-0.00022414719730694927,1.4391242912634003e-19,-0.0014299134941693397,-1.228923361596188e-20,-1.0744285968676012e-05,-4.1099220085535633e-22,0.0038471031970786114,-0.002759956194859316,0.0,0.0,0.0,0.03769911184307752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09,-0.0005100815946220077,3.289151413366312e-19,-0.0032143467448869753,-2.808769726590761e-20,-2.3647347470312816e-05,-9.312984109649615e-22,0.007648058631156884,-0.00506050472588496,0.0,0.0,0.0,0.05654866776461627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11999999999999998,-0.0009170297554752905,5.840744028280278e-19,-0.005708540482901578,-4.987774495567762e-20,-4.1101300574956795e-05,-1.6282211598731002e-21,0.01189858952503194,-0.007068072183016864,0.0,0.0,0.0,0.07539822368615502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,-0.0014490880318098788,9.059672877594875e-19,-0.008909522244917959,-7.736740701638753e-20,-6.276225423534311e-05,-2.5643970581352893e-21,0.016340443206402988,-0.008519756712816936,0.0,0.0,0.0,0.09424777960769377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18000000000000002,-0.0021106090624431533,1.2986794211531186e-18,-0.012813878430635296,-1.109059285193847e-19,-8.829440342627735e-05,-3.723051895691191e-21,0.021052887235297513,-0.009564184761868235,0.0,0.0,0.0,0.11309733552923253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.21000000000000005,-0.0029060504762374205,1.758346973863654e-18,-0.0174177567196931,-1.5016376567102366e-19,-0.00011736483059132315,-5.0756131161010145e-21,0.02633646360764172,-0.010622456486597976,0.0,0.0,0.0,0.1319468914507713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24000000000000007,-0.0038397561069056074,2.285828494778432e-18,-0.022716868734557295,-1.9521466113819988e-19,-0.00014963622952568332,-6.650707182861416e-21,0.0325254110631449,-0.012162015188182494,0.0,0.0,0.0,0.15079644737231004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2700000000000001,-0.004915770740208668,2.886152743304537e-18,-0.02870649294149063,-2.4648849075148626e-19,-0.00018476103358838937,-8.425159607602804e-21,0.03981648324452589,-0.014489243797956066,0.0,0.0,0.0,0.1696460032938488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3000000000000001,-0.006137759025068709,3.557082626852836e-18,-0.035381477794661345,-3.0379474372777786e-19,-0.00022237928321836004,-1.0388892289662873e-20,0.048180544488431745,-0.017641263788863423,0.0,0.0,0.0,0.18849555921538755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
