time,WindSpeed,AeroThrust,GenTq,GenPwr,PitchCmd
0.01,11.4,-4065.6260063319733,43093.55,2479338.7561463322,0.0
0.060000000000000005,11.4,-4021.767121290091,43093.55,2479338.7561463322,0.0
0.10999999999999999,11.4,-3981.3330361366934,43093.55,2479338.7561463322,0.0
0.16,11.4,-3944.2186769422888,43093.55,2479338.7561463322,0.0
0.21000000000000005,11.4,-3910.262987904523,43093.55,2479338.7561463322,0.0
0.26000000000000006,11.4,-3879.5431512108103,43093.55,2479338.7561463322,0.0
0.3100000000000001,11.4,-3852.3398869345306,43093.55,2479338.7561463322,0.0
0.36000000000000015,11.4,-3828.893843652986,43093.55,2479338.7561463322,0.0
0.4100000000000002,11.4,-3809.2476301152046,43093.55,2479338.7561463322,0.0
0.46000000000000024,11.4,-3793.306229639199,43093.55,2479338.7561463322,0.0
0.5100000000000002,11.4,-3780.9984426861915,43093.55,2479338.7561463322,0.0
0.5600000000000003,11.4,-3772.3535051421677,43093.55,2479338.7561463322,0.0
0.6100000000000003,11.4,-3767.4398346908547,43093.55,2479338.7561463322,0.0
0.6600000000000004,11.4,-3766.262944495879,43093.55,2479338.7561463322,0.0
0.7100000000000004,11.4,-3768.734393286991,43093.55,2479338.7561463322,0.0
0.7600000000000005,11.4,-3774.724266203789,43093.55,2479338.7561463322,0.0
0.8100000000000005,11.4,-3784.124206870534,43093.55,2479338.7561463322,0.0
0.8600000000000005,11.4,-3796.8570447685183,43093.55,2479338.7561463322,0.0
0.9100000000000006,11.4,-3823.558788147646,43093.55,2479338.7561463322,0.0
0.9600000000000006,11.4,-3843.3204332417363,43093.55,2479338.7561463322,0.0
1.0100000000000007,11.4,-3861.530482463555,43093.55,2479338.7561463322,0.0
1.0600000000000007,11.4,-3882.862501205365,43093.55,2479338.7561463322,0.0
1.1100000000000008,11.4,-3907.045067194387,43093.55,2479338.7561463322,0.0
1.1600000000000008,11.4,-3933.8307535811578,43093.55,2479338.7561463322,0.0
1.2100000000000009,11.4,-3963.0813715001536,43093.55,2479338.7561463322,0.0
1.260000000000001,11.4,-3994.717280741355,43093.55,2479338.7561463322,0.0
1.310000000000001,11.4,-4028.6182039207497,43093.55,2479338.7561463322,0.0
1.360000000000001,11.4,-4064.5874787019375,43093.55,2479338.7561463322,0.0
1.410000000000001,11.4,-4102.399500173005,43093.55,2479338.7561463322,0.0
1.460000000000001,11.4,-4141.862874294239,43093.55,2479338.7561463322,0.0
1.5100000000000011,11.4,-4182.834144817487,43093.55,2479338.7561463322,0.0
1.5600000000000012,11.4,-4225.182819682853,43093.55,2479338.7561463322,0.0
